LName,BankCode,BankName,BankId,CityCode,CityName,ProvinceName,ProvinceCode
中国工商银行股份有限公司北京灯市口支行,102100020948,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中环广场支行,102100020956,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京方成支行,102100021029,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京西单支行,102100021037,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京真武庙支行,102100021045,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京白塔寺支行,102100021053,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京东直门支行,102100021070,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京东四头条支行,102100021096,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京大望路支行,102100021131,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京甜水园支行,102100021166,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京夕照寺支行,102100021174,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京天坛东路支行,102100021182,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京十里堡支行,102100021246,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京常营支行,102100021254,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京安华桥西支行,102100021359,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京自贸试验区生命科学园支行,102100021391,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京蓟门里支行,102100021422,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京远洋风景支行,102100021439,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京华润大厦支行,102100021455,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京禄米仓支行,102100021463,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京南纬路支行,102100021519,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京虎坊路支行,102100021527,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京复内支行,102100021535,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京三里河东路支行,102100021551,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京菜百支行,102100021617,中国工商银行,102100099996,1000,北京市,北京市,11
